Order_ID,Month,Order_Date,Customer_ID,Product,Category,Unit_Price,Quantity,Revenue Before Discount,Discount,Discount Amount,Total_Sales,Payment_Mode,City,Sales_Channel,,,,,
1021,May-2024,15-05-2024,C993,Notebook,Stationery,-147,2,-294,5,-14.7,-279,Debit Card,Kolkata,Offline,,,,,
1022,April-2024,22-04-2024,C629,Office Chair,Furniture,"5,495",2,"10,990",5,549.5,"10,440",UPI,Pune,Online,,,,,
1023,May-2024,30-05-2024,C667,Monitor,Electronics,"12,410",2,"24,820",0,0,"24,820",UPI,Delhi,Online,,,,,
1024,January-2024,18-01-2024,C132,Printer,Electronics,"7,290",5,"36,450",5,1822.5,"34,627",Debit Card,Ahmedabad,Online,,,,,
1025,May-2024,18-05-2024,C235,Notebook,Stationery,480,4,"1,920",5,96,"1,824",Cash,Kolkata,Online,,,,,
1026,January-2024,25-01-2024,C199,Tablet,Electronics,"19,451",4,"77,804",15,11670.6,"66,133",Cash,Delhi,Online,,,,,
1027,January-2024,16-01-2024,C512,Printer,Electronics,"10,279",1,"10,279",5,513.95,"9,765",Credit Card,Hyderabad,Offline,,,,,
1028,February-2024,05-02-2024,C532,Headphones,Electronics,"1,640",4,"6,560",5,328,"6,232",UPI,Ahmedabad,Online,,,,,
1029,January-2024,13-01-2024,C767,Desk Lamp,Furniture,"3,224",1,"3,224",0,0,"3,224",Credit Card,Bangalore,Offline,,,,,
1030,May-2024,04-05-2024,C592,Monitor,Electronics,"13,541",4,"54,164",0,0,"54,164",Credit Card,Kolkata,Online,,,,,
1031,April-2024,09-04-2024,C371,Office Chair,Furniture,"6,168",4,"24,672",15,3700.8,"20,971",Credit Card,Hyderabad,Offline,,,,,
1032,February-2024,25-02-2024,C159,Notebook,Stationery,"1,133",5,"5,665",0,0,"5,665",Debit Card,Delhi,Online,,,,,
1033,May-2024,29-05-2024,C588,Desk Lamp,Furniture,"3,565",5,"17,825",5,891.25,"16,933",UPI,Mumbai,Online,,,,,
1034,January-2024,18-01-2024,C709,Smartphone,Electronics,"30,765",2,"61,530",15,9229.5,"52,300",UPI,Hyderabad,Online,,,,,
1035,June-2024,07-06-2024,C183,Tablet,Electronics,"20,692",5,"1,03,460",10,10346,"93,114",Debit Card,Hyderabad,Offline,,,,,
1036,March-2024,02-03-2024,C371,Tablet,Electronics,"18,536",3,"55,608",15,8341.2,"47,266",Debit Card,Mumbai,Online,,,,,
1037,April-2024,27-04-2024,C736,Notebook,Stationery,"-1,471",1,"-1,471",5,-73.55,"-1,397",Debit Card,Bangalore,Offline,,,,,
1038,January-2024,18-01-2024,C350,Printer,Electronics,"8,167",2,"16,334",15,2450.1,"13,883",Debit Card,Delhi,Offline,,,,,
1039,June-2024,18-06-2024,C206,Headphones,Electronics,"1,583",1,"1,583",0,0,"1,583",Credit Card,Chennai,Offline,,,,,
1040,June-2024,03-06-2024,C315,Printer,Electronics,"7,833",3,"23,499",15,3524.85,"19,974",Debit Card,Delhi,Online,,,,,
1041,June-2024,11-06-2024,C533,Keyboard,Electronics,-320,1,-320,10,-32,-288,Credit Card,Chennai,Online,,,,,
1042,April-2024,23-04-2024,C664,Tablet,Electronics,"20,297",1,"20,297",0,0,"20,297",UPI,Bangalore,Online,,,,,
1043,April-2024,04-04-2024,C696,Desk Lamp,Furniture,406,4,"1,624",5,81.2,"1,542",UPI,Chennai,Offline,,,,,
1044,January-2024,11-01-2024,C466,Monitor,Electronics,"12,793",2,"25,586",0,0,"25,586",Debit Card,Kolkata,Online,,,,,
1045,March-2024,01-03-2024,C985,Headphones,Electronics,"4,498",2,"8,996",15,1349.4,"7,646",UPI,Bangalore,Offline,,,,,
1046,April-2024,15-04-2024,C921,Monitor,Electronics,"11,092",2,"22,184",0,0,"22,184",Cash,Delhi,Offline,,,,,
1047,February-2024,26-02-2024,C304,Office Chair,Furniture,"6,432",3,"19,296",5,964.8,"18,331",Credit Card,Delhi,Online,,,,,
1048,April-2024,12-04-2024,C436,Keyboard,Electronics,"3,040",1,"3,040",10,304,"2,736",Debit Card,Kolkata,Offline,,,,,
1049,January-2024,08-01-2024,C218,Keyboard,Electronics,231,5,"1,155",10,115.5,"1,039",UPI,Mumbai,Offline,,,,,
1050,March-2024,29-03-2024,C846,Printer,Electronics,"8,787",5,"43,935",0,0,"43,935",Cash,Hyderabad,Offline,,,,,
1051,January-2024,12-01-2024,C825,Tablet,Electronics,"18,006",5,"90,030",5,4501.5,"85,528",Debit Card,Kolkata,Online,,,,,
1052,June-2024,19-06-2024,C438,Notebook,Stationery,-595,1,-595,10,-59.5,-535,Debit Card,Kolkata,Offline,,,,,
1053,April-2024,13-04-2024,C813,Keyboard,Electronics,"1,770",2,"3,540",5,177,"3,363",Cash,Kolkata,Online,,,,,
1054,June-2024,06-06-2024,C682,Keyboard,Electronics,"1,163",5,"5,815",0,0,"5,815",Debit Card,Chennai,Online,,,,,
1055,April-2024,20-04-2024,C904,Notebook,Stationery,604,3,"1,812",15,271.8,"1,540",Cash,Ahmedabad,Online,,,,,
1056,May-2024,10-05-2024,C584,Headphones,Electronics,"3,198",1,"3,198",10,319.8,"2,878",Debit Card,Mumbai,Online,,,,,
1057,June-2024,21-06-2024,C417,Monitor,Electronics,"13,303",2,"26,606",5,1330.3,"25,275",UPI,Delhi,Online,,,,,
1058,May-2024,01-05-2024,C725,Smartphone,Electronics,"29,865",4,"1,19,460",5,5973,"1,13,487",Cash,Ahmedabad,Offline,,,,,
1059,March-2024,03-03-2024,C251,Laptop,Electronics,"56,656",1,"56,656",15,8498.4,"48,157",Credit Card,Bangalore,Offline,,,,,
1060,January-2024,13-01-2024,C670,Monitor,Electronics,"13,757",1,"13,757",15,2063.55,"11,693",Credit Card,Ahmedabad,Offline,,,,,
1061,April-2024,23-04-2024,C727,Desk Lamp,Furniture,"1,547",5,"7,735",15,1160.25,"6,574",Credit Card,Ahmedabad,Offline,,,,,
1062,March-2024,07-03-2024,C869,Monitor,Electronics,"13,440",3,"40,320",15,6048,"34,272",Credit Card,Chennai,Offline,,,,,
1063,January-2024,20-01-2024,C830,Keyboard,Electronics,460,3,"1,380",10,138,"1,242",Debit Card,Mumbai,Online,,,,,
1064,February-2024,08-02-2024,C336,Tablet,Electronics,"20,842",2,"41,684",5,2084.2,"39,599",UPI,Kolkata,Offline,,,,,
1065,March-2024,25-03-2024,C655,Office Chair,Furniture,"6,703",1,"6,703",5,335.15,"6,367",Cash,Kolkata,Online,,,,,
1066,May-2024,27-05-2024,C489,Office Chair,Furniture,"5,024",3,"15,072",10,1507.2,"13,564",Cash,Kolkata,Online,,,,,
1067,May-2024,04-05-2024,C324,Keyboard,Electronics,"1,285",4,"5,140",0,0,"5,140",Cash,Pune,Offline,,,,,
1068,February-2024,12-02-2024,C960,Office Chair,Furniture,"8,766",2,"17,532",0,0,"17,532",Cash,Delhi,Online,,,,,
1069,June-2024,13-06-2024,C538,Headphones,Electronics,"4,050",4,"16,200",5,810,"15,390",UPI,Chennai,Offline,,,,,
1070,March-2024,24-03-2024,C316,Office Chair,Furniture,"6,338",3,"19,014",15,2852.1,"16,161",Debit Card,Kolkata,Offline,,,,,
1071,January-2024,21-01-2024,C581,Laptop,Electronics,"56,068",5,"2,80,340",0,0,"2,80,340",Debit Card,Hyderabad,Online,,,,,
1072,June-2024,15-06-2024,C141,Laptop,Electronics,"56,889",2,"1,13,778",5,5688.9,"1,08,089",UPI,Bangalore,Online,,,,,
1073,February-2024,02-02-2024,C584,Smartphone,Electronics,"30,310",2,"60,620",15,9093,"51,527",Debit Card,Pune,Online,,,,,
1074,June-2024,04-06-2024,C721,Smartphone,Electronics,"31,185",2,"62,370",10,6237,"56,133",UPI,Delhi,Offline,,,,,
1075,May-2024,27-05-2024,C793,Tablet,Electronics,"19,624",2,"39,248",0,0,"39,248",Credit Card,Mumbai,Offline,,,,,
1076,June-2024,24-06-2024,C714,Smartphone,Electronics,"31,261",5,"1,56,305",0,0,"1,56,305",Debit Card,Kolkata,Offline,,,,,
1077,January-2024,18-01-2024,C618,Printer,Electronics,"7,051",4,"28,204",15,4230.6,"23,973",UPI,Kolkata,Offline,,,,,
1078,June-2024,11-06-2024,C948,Office Chair,Furniture,"7,897",2,"15,794",15,2369.1,"13,424",Credit Card,Chennai,Offline,,,,,
1079,April-2024,29-04-2024,C546,Notebook,Stationery,-781,3,"-2,343",5,-117.15,"-2,225",UPI,Chennai,Offline,,,,,
1080,March-2024,03-03-2024,C868,Office Chair,Furniture,"7,334",5,"36,670",15,5500.5,"31,169",Debit Card,Delhi,Offline,,,,,
1081,March-2024,24-03-2024,C286,Office Chair,Furniture,"5,868",3,"17,604",10,1760.4,"15,843",Debit Card,Chennai,Offline,,,,,
1082,May-2024,22-05-2024,C110,Desk Lamp,Furniture,"3,683",2,"7,366",0,0,"7,366",Credit Card,Kolkata,Offline,,,,,
1083,May-2024,22-05-2024,C876,Monitor,Electronics,"12,828",4,"51,312",15,7696.8,"43,615",Cash,Delhi,Online,,,,,
1084,March-2024,16-03-2024,C326,Tablet,Electronics,"20,833",2,"41,666",10,4166.6,"37,499",Debit Card,Ahmedabad,Offline,,,,,
1085,April-2024,18-04-2024,C863,Desk Lamp,Furniture,"1,154",3,"3,462",15,519.3,"2,942",Debit Card,Chennai,Offline,,,,,
1086,February-2024,29-02-2024,C223,Monitor,Electronics,"11,292",1,"11,292",5,564.6,"10,727",Credit Card,Hyderabad,Offline,,,,,
1087,March-2024,11-03-2024,C841,Notebook,Stationery,"2,120",5,"10,600",10,1060,"9,540",UPI,Hyderabad,Offline,,,,,
1088,February-2024,28-02-2024,C469,Headphones,Electronics,"1,738",1,"1,738",5,86.9,"1,651",Debit Card,Delhi,Online,,,,,
1089,May-2024,21-05-2024,C399,Headphones,Electronics,"3,112",4,"12,448",0,0,"12,448",UPI,Chennai,Offline,,,,,
1090,May-2024,02-05-2024,C551,Printer,Electronics,"7,755",1,"7,755",10,775.5,"6,979",Cash,Mumbai,Online,,,,,
1091,April-2024,12-04-2024,C603,Smartphone,Electronics,"30,363",1,"30,363",5,1518.15,"28,844",Credit Card,Chennai,Online,,,,,
1092,March-2024,04-03-2024,C221,Desk Lamp,Furniture,"2,931",4,"11,724",5,586.2,"11,137",Cash,Ahmedabad,Offline,,,,,
1093,March-2024,17-03-2024,C980,Notebook,Stationery,-124,3,-372,0,0,-372,UPI,Hyderabad,Online,,,,,
1094,March-2024,08-03-2024,C776,Smartphone,Electronics,"28,643",2,"57,286",5,2864.3,"54,421",UPI,Bangalore,Online,,,,,
1095,April-2024,14-04-2024,C561,Notebook,Stationery,44,3,132,0,0,132,Credit Card,Chennai,Offline,,,,,
1096,June-2024,28-06-2024,C980,Office Chair,Furniture,"5,291",2,"10,582",10,1058.2,"9,523",Credit Card,Kolkata,Online,,,,,
1097,May-2024,19-05-2024,C330,Headphones,Electronics,"4,220",3,"12,660",5,633,"12,027",UPI,Delhi,Online,,,,,
1098,March-2024,19-03-2024,C709,Notebook,Stationery,"1,893",3,"5,679",15,851.85,"4,827",UPI,Ahmedabad,Offline,,,,,
1099,June-2024,28-06-2024,C512,Keyboard,Electronics,"1,549",5,"7,745",15,1161.75,"6,583",Cash,Mumbai,Online,,,,,
1100,April-2024,20-04-2024,C852,Printer,Electronics,"9,472",3,"28,416",0,0,"28,416",UPI,Hyderabad,Online,,,,,
1101,June-2024,21-06-2024,C941,Keyboard,Electronics,"1,860",1,"1,860",5,93,"1,767",Cash,Ahmedabad,Offline,,,,,
1102,February-2024,16-02-2024,C699,Tablet,Electronics,"20,600",4,"82,400",0,0,"82,400",Cash,Pune,Offline,,,,,
1103,March-2024,26-03-2024,C428,Smartphone,Electronics,"31,513",2,"63,026",10,6302.6,"56,723",Cash,Ahmedabad,Offline,,,,,
1104,June-2024,18-06-2024,C510,Desk Lamp,Furniture,-50,4,-200,0,0,-200,Debit Card,Chennai,Offline,,,,,
1105,January-2024,30-01-2024,C891,Tablet,Electronics,"21,542",5,"1,07,710",0,0,"1,07,710",Cash,Kolkata,Online,,,,,
1106,February-2024,18-02-2024,C630,Printer,Electronics,"9,550",4,"38,200",15,5730,"32,470",UPI,Hyderabad,Offline,,,,,
1107,May-2024,20-05-2024,C234,Keyboard,Electronics,"1,294",4,"5,176",0,0,"5,176",UPI,Hyderabad,Online,,,,,
1108,March-2024,20-03-2024,C664,Laptop,Electronics,"55,262",4,"2,21,048",0,0,"2,21,048",Credit Card,Mumbai,Offline,,,,,
1109,January-2024,31-01-2024,C763,Headphones,Electronics,"2,541",3,"7,623",10,762.3,"6,860",Cash,Ahmedabad,Offline,,,,,
1110,March-2024,03-03-2024,C567,Desk Lamp,Furniture,392,4,"1,568",5,78.4,"1,489",Credit Card,Mumbai,Offline,,,,,
1111,April-2024,16-04-2024,C448,Desk Lamp,Furniture,894,1,894,10,89.4,804,Debit Card,Ahmedabad,Online,,,,,
1112,April-2024,24-04-2024,C651,Office Chair,Furniture,"6,413",3,"19,239",15,2885.85,"16,353",Cash,Pune,Online,,,,,
1113,June-2024,27-06-2024,C344,Notebook,Stationery,-312,2,-624,15,-93.6,-530,UPI,Pune,Offline,,,,,
1114,June-2024,29-06-2024,C930,Tablet,Electronics,"19,581",2,"39,162",15,5874.3,"33,287",UPI,Bangalore,Offline,,,,,
1115,January-2024,26-01-2024,C995,Office Chair,Furniture,"5,408",5,"27,040",15,4056,"22,984",UPI,Bangalore,Offline,,,,,
1116,June-2024,16-06-2024,C258,Smartphone,Electronics,"29,923",3,"89,769",10,8976.9,"80,792",Cash,Mumbai,Offline,,,,,
1117,June-2024,21-06-2024,C979,Desk Lamp,Furniture,"1,356",3,"4,068",15,610.2,"3,457",UPI,Mumbai,Online,,,,,
1118,June-2024,10-06-2024,C800,Keyboard,Electronics,431,1,431,15,64.65,366,UPI,Mumbai,Offline,,,,,
1119,February-2024,12-02-2024,C810,Keyboard,Electronics,"3,200",1,"3,200",0,0,"3,200",Debit Card,Delhi,Offline,,,,,
1120,April-2024,01-04-2024,C483,Tablet,Electronics,"18,596",2,"37,192",15,5578.8,"31,613",Credit Card,Bangalore,Online,,,,,
1121,January-2024,21-01-2024,C724,Tablet,Electronics,"20,538",2,"41,076",15,6161.4,"34,914",Credit Card,Hyderabad,Offline,,,,,
1122,June-2024,12-06-2024,C360,Office Chair,Furniture,"6,045",1,"6,045",15,906.75,"5,138",Debit Card,Bangalore,Online,,,,,
1123,April-2024,23-04-2024,C453,Notebook,Stationery,-655,4,"-2,620",10,-262,"-2,358",Cash,Chennai,Online,,,,,
1124,April-2024,08-04-2024,C973,Office Chair,Furniture,"5,436",2,"10,872",15,1630.8,"9,241",Debit Card,Chennai,Offline,,,,,
1125,January-2024,06-01-2024,C949,Tablet,Electronics,"19,124",1,"19,124",0,0,"19,124",Cash,Chennai,Online,,,,,
1126,June-2024,04-06-2024,C921,Printer,Electronics,"7,897",2,"15,794",10,1579.4,"14,214",Credit Card,Mumbai,Online,,,,,
1127,March-2024,20-03-2024,C907,Office Chair,Furniture,"5,136",5,"25,680",10,2568,"23,112",Credit Card,Mumbai,Offline,,,,,
1128,March-2024,24-03-2024,C865,Tablet,Electronics,"18,719",2,"37,438",5,1871.9,"35,566",Debit Card,Chennai,Online,,,,,
1129,March-2024,06-03-2024,C944,Office Chair,Furniture,"8,962",3,"26,886",10,2688.6,"24,197",UPI,Ahmedabad,Online,,,,,
1130,February-2024,06-02-2024,C872,Monitor,Electronics,"13,523",4,"54,092",10,5409.2,"48,682",UPI,Kolkata,Online,,,,,
1131,March-2024,08-03-2024,C649,Smartphone,Electronics,"29,862",3,"89,586",10,8958.6,"80,627",Cash,Pune,Online,,,,,
1132,June-2024,21-06-2024,C339,Office Chair,Furniture,"5,102",5,"25,510",10,2551,"22,959",Credit Card,Mumbai,Offline,,,,,
1133,June-2024,28-06-2024,C409,Tablet,Electronics,"18,477",2,"36,954",0,0,"36,954",UPI,Chennai,Offline,,,,,
1134,January-2024,30-01-2024,C199,Monitor,Electronics,"13,634",5,"68,170",5,3408.5,"64,761",Cash,Ahmedabad,Offline,,,,,
1135,June-2024,20-06-2024,C860,Desk Lamp,Furniture,"1,516",5,"7,580",5,379,"7,201",Cash,Mumbai,Offline,,,,,
1136,June-2024,06-06-2024,C517,Keyboard,Electronics,-366,3,"-1,098",5,-54.9,"-1,043",Cash,Ahmedabad,Online,,,,,
1137,April-2024,02-04-2024,C201,Printer,Electronics,"9,230",3,"27,690",0,0,"27,690",Cash,Chennai,Online,,,,,
1138,February-2024,01-02-2024,C968,Office Chair,Furniture,"5,375",2,"10,750",0,0,"10,750",UPI,Pune,Online,,,,,
1139,February-2024,02-02-2024,C905,Notebook,Stationery,"-1,040",1,"-1,040",5,-52,-988,Credit Card,Hyderabad,Offline,,,,,
1140,February-2024,07-02-2024,C907,Notebook,Stationery,"-1,869",3,"-5,607",5,-280.35,"-5,326",Credit Card,Chennai,Online,,,,,
1141,January-2024,29-01-2024,C776,Laptop,Electronics,"53,539",1,"53,539",10,5353.9,"48,185",Credit Card,Pune,Online,,,,,
1142,February-2024,14-02-2024,C371,Laptop,Electronics,"53,519",4,"2,14,076",0,0,"2,14,076",UPI,Ahmedabad,Offline,,,,,
1143,April-2024,02-04-2024,C625,Notebook,Stationery,"-1,434",4,"-5,736",5,-286.8,"-5,449",UPI,Chennai,Offline,,,,,
1144,June-2024,13-06-2024,C131,Laptop,Electronics,"54,961",4,"2,19,844",15,32976.6,"1,86,867",UPI,Ahmedabad,Offline,,,,,
1145,January-2024,19-01-2024,C182,Printer,Electronics,"9,491",2,"18,982",0,0,"18,982",Credit Card,Chennai,Offline,,,,,
1146,April-2024,07-04-2024,C711,Desk Lamp,Furniture,"1,007",4,"4,028",15,604.2,"3,423",UPI,Mumbai,Online,,,,,
1147,April-2024,20-04-2024,C562,Monitor,Electronics,"11,694",3,"35,082",15,5262.3,"29,819",Cash,Kolkata,Online,,,,,
1148,March-2024,21-03-2024,C537,Printer,Electronics,"9,724",3,"29,172",10,2917.2,"26,254",Credit Card,Ahmedabad,Online,,,,,
1149,January-2024,24-01-2024,C951,Smartphone,Electronics,"28,381",4,"1,13,524",0,0,"1,13,524",Debit Card,Bangalore,Online,,,,,
1150,May-2024,30-05-2024,C675,Desk Lamp,Furniture,"1,150",1,"1,150",15,172.5,977,Debit Card,Kolkata,Online,,,,,
1151,March-2024,14-03-2024,C714,Keyboard,Electronics,940,1,940,5,47,893,Credit Card,Ahmedabad,Online,,,,,
1152,January-2024,28-01-2024,C458,Desk Lamp,Furniture,"1,305",1,"1,305",10,130.5,"1,174",Credit Card,Kolkata,Online,,,,,
1153,June-2024,04-06-2024,C773,Keyboard,Electronics,-382,2,-764,10,-76.4,-687,Debit Card,Pune,Offline,,,,,
1154,January-2024,02-01-2024,C285,Headphones,Electronics,"2,819",4,"11,276",0,0,"11,276",Credit Card,Delhi,Online,,,,,
1155,May-2024,15-05-2024,C320,Tablet,Electronics,"19,719",4,"78,876",10,7887.6,"70,988",Credit Card,Pune,Offline,,,,,
1156,March-2024,24-03-2024,C895,Notebook,Stationery,562,1,562,0,0,562,Credit Card,Bangalore,Online,,,,,
1157,June-2024,21-06-2024,C183,Keyboard,Electronics,"1,314",4,"5,256",15,788.4,"4,467",Cash,Kolkata,Offline,,,,,
1158,February-2024,25-02-2024,C873,Desk Lamp,Furniture,266,3,798,15,119.7,678,UPI,Chennai,Offline,,,,,
1159,May-2024,14-05-2024,C783,Keyboard,Electronics,-314,2,-628,15,-94.2,-533,UPI,Delhi,Online,,,,,
1160,March-2024,18-03-2024,C316,Headphones,Electronics,"3,630",3,"10,890",10,1089,"9,801",Debit Card,Mumbai,Online,,,,,
1161,May-2024,07-05-2024,C864,Tablet,Electronics,"18,719",2,"37,438",15,5615.7,"31,822",Credit Card,Pune,Online,,,,,
1162,April-2024,11-04-2024,C982,Laptop,Electronics,"54,786",1,"54,786",15,8217.9,"46,568",UPI,Pune,Offline,,,,,
1163,May-2024,26-05-2024,C514,Tablet,Electronics,"19,185",1,"19,185",15,2877.75,"16,307",UPI,Pune,Online,,,,,
1164,June-2024,07-06-2024,C571,Printer,Electronics,"7,360",4,"29,440",0,0,"29,440",Credit Card,Kolkata,Offline,,,,,
1165,May-2024,14-05-2024,C180,Tablet,Electronics,"21,565",3,"64,695",10,6469.5,"58,225",Credit Card,Pune,Online,,,,,
1166,January-2024,20-01-2024,C622,Smartphone,Electronics,"30,173",5,"1,50,865",5,7543.25,"1,43,321",Debit Card,Pune,Online,,,,,
1167,March-2024,01-03-2024,C205,Headphones,Electronics,"1,548",2,"3,096",5,154.8,"2,941",Credit Card,Mumbai,Online,,,,,
1168,June-2024,09-06-2024,C605,Office Chair,Furniture,"8,090",5,"40,450",15,6067.5,"34,382",Debit Card,Pune,Online,,,,,
1169,April-2024,22-04-2024,C169,Office Chair,Furniture,"6,811",3,"20,433",10,2043.3,"18,389",UPI,Pune,Online,,,,,
1170,March-2024,20-03-2024,C572,Office Chair,Furniture,"5,154",1,"5,154",10,515.4,"4,638",Debit Card,Mumbai,Online,,,,,
1171,June-2024,06-06-2024,C708,Desk Lamp,Furniture,"1,374",4,"5,496",0,0,"5,496",Cash,Hyderabad,Offline,,,,,
1172,June-2024,03-06-2024,C587,Desk Lamp,Furniture,417,1,417,15,62.55,354,UPI,Pune,Online,,,,,
1173,May-2024,09-05-2024,C761,Headphones,Electronics,660,2,"1,320",15,198,"1,122",Cash,Bangalore,Offline,,,,,
1174,April-2024,05-04-2024,C389,Tablet,Electronics,"19,674",3,"59,022",0,0,"59,022",Debit Card,Mumbai,Offline,,,,,
1175,January-2024,25-01-2024,C671,Tablet,Electronics,"19,163",3,"57,489",5,2874.45,"54,614",Debit Card,Mumbai,Online,,,,,
1176,March-2024,30-03-2024,C417,Tablet,Electronics,"18,528",5,"92,640",0,0,"92,640",Debit Card,Kolkata,Offline,,,,,
1177,February-2024,02-02-2024,C786,Desk Lamp,Furniture,182,4,728,10,72.8,655,UPI,Pune,Offline,,,,,
1178,February-2024,16-02-2024,C319,Printer,Electronics,"10,881",4,"43,524",5,2176.2,"41,347",Credit Card,Bangalore,Online,,,,,
1179,January-2024,20-01-2024,C402,Smartphone,Electronics,"30,079",5,"1,50,395",0,0,"1,50,395",Debit Card,Bangalore,Offline,,,,,
1180,February-2024,09-02-2024,C266,Headphones,Electronics,"3,905",5,"19,525",5,976.25,"18,548",Cash,Delhi,Offline,,,,,
1181,April-2024,03-04-2024,C792,Monitor,Electronics,"13,971",4,"55,884",10,5588.4,"50,295",Cash,Hyderabad,Online,,,,,
1182,March-2024,20-03-2024,C928,Office Chair,Furniture,"8,702",2,"17,404",10,1740.4,"15,663",Cash,Ahmedabad,Offline,,,,,
1183,April-2024,07-04-2024,C614,Desk Lamp,Furniture,"1,514",2,"3,028",5,151.4,"2,876",Credit Card,Chennai,Online,,,,,
1184,June-2024,13-06-2024,C592,Printer,Electronics,"9,271",1,"9,271",0,0,"9,271",Debit Card,Mumbai,Online,,,,,
1185,March-2024,10-03-2024,C560,Desk Lamp,Furniture,403,4,"1,612",0,0,"1,612",Credit Card,Ahmedabad,Offline,,,,,
1186,January-2024,07-01-2024,C524,Laptop,Electronics,"54,623",5,"2,73,115",10,27311.5,"2,45,803",Credit Card,Kolkata,Online,,,,,
1187,April-2024,05-04-2024,C329,Laptop,Electronics,"54,305",1,"54,305",10,5430.5,"48,874",Credit Card,Bangalore,Online,,,,,
1188,March-2024,14-03-2024,C949,Office Chair,Furniture,"7,851",2,"15,702",15,2355.3,"13,346",Cash,Delhi,Online,,,,,
1189,January-2024,05-01-2024,C362,Monitor,Electronics,"13,420",2,"26,840",15,4026,"22,814",UPI,Chennai,Online,,,,,
1190,March-2024,18-03-2024,C224,Laptop,Electronics,"53,976",4,"2,15,904",15,32385.6,"1,83,518",UPI,Mumbai,Offline,,,,,
1191,June-2024,01-06-2024,C648,Laptop,Electronics,"55,588",5,"2,77,940",5,13897,"2,64,043",Credit Card,Chennai,Offline,,,,,
1192,January-2024,01-01-2024,C729,Printer,Electronics,"7,985",5,"39,925",15,5988.75,"33,936",Credit Card,Mumbai,Offline,,,,,
1193,January-2024,18-01-2024,C638,Desk Lamp,Furniture,"1,878",5,"9,390",0,0,"9,390",Cash,Ahmedabad,Online,,,,,
1194,June-2024,11-06-2024,C496,Printer,Electronics,"8,038",1,"8,038",10,803.8,"7,234",UPI,Pune,Online,,,,,
1195,June-2024,17-06-2024,C743,Smartphone,Electronics,"31,160",5,"1,55,800",10,15580,"1,40,220",Credit Card,Delhi,Offline,,,,,
1196,May-2024,19-05-2024,C446,Headphones,Electronics,"3,901",4,"15,604",15,2340.6,"13,263",Credit Card,Bangalore,Online,,,,,
1197,April-2024,27-04-2024,C137,Keyboard,Electronics,325,1,325,5,16.25,308,UPI,Pune,Offline,,,,,
